id_client,segment,region,canal_acquisition,nb_commandes,chiffre_affaires,date_dernier_achat,dernier_achat_jours,satisfaction,statut_client,risque_churn,potentiel_upsell,cout_support
C0082,PME,Marseille,Commercial,11,2743.75,2024-06-05,685,6.9,À relancer,Moyen,37.4,61.53
C0060,PME,Lille,Partenaire,3,859.32,2026-03-12,40,5.4,Actif,faible,81.5,125.87
C0121,Association,Marseille,Commercial,13,3899.56,2025-02-16,429,6.4,Inactif,Moyen,51.4,167.97
C0072,Grand compte,Lille,Commercial,9,7365.74,2025-08-07,257,8.3,À relancer,Moyen,64.9,67.3
C0011,PME,Bordeaux,Email,11,3548.26,2026-01-30,81,7.4,À relancer,Faible,51.8,120.31
C0001,PME,Paris,Email,6,6723.13,2025-08-14,250,7.7,Inactif,Moyen,53.4,77.99
C0189,Particulier,Lille,Web,10,2587.18,2024-06-17,673,7.1,À relancer,Moyen,71.4,13.75
C0022,Particulier,Lille,Commercial,4,1289.99,2025-04-16,370,10.0,Inactif,Moyen,51.0,18.33
C0051,GRAND COMPTE,Lyon,Commercial,7,9522.89,2024-12-10,497,7.1,Inactif,Moyen,52.0,123.79
C0090,Particulier,Paris,Partenaire,9,1696.3,2025-02-01,444,7.6,Inactif,Moyen,38.2,235.21
C0216,Particulier,Marseille,Commercial,8,752.16,2025-11-23,149,7.3,Actif,Faible,20.0,31.86
C0013,Particulier,Marseille,Email,5,1811.51,2025-09-19,214,10.0,Inactif,Moyen,40.2,90.76
C0081,Association,Bordeaux,Téléphone,9,3259.52,2025-02-23,422,6.2,Actif,Moyen,44.1,0.0
C0110,Particulier,Bordeaux,Web,6,1396.83,2025-01-09,467,8.6,Inactif,Moyen,42.1,114.99
C0127,Particulier,Marseille,Commercial,3,642.49,2025-05-21,335,8.8,Inactif,Moyen,42.2,30.51
C0031,Particulier,Marseille,Téléphone,4,1108.9,2024-10-16,552,7.8,À relancer,Moyen,41.9,167.61
C0102,Association,Bordeaux,Téléphone,9,1838.86,2024-06-16,674,6.6,Actif,Moyen,41.0,65.0
C0219,Association,Lyon,Téléphone,9,2346.35,2025-01-04,472,4.1,Inactif,Élevé,59.0,17.12
C0129,Grand compte,Marseille,Web,6,2065.39,2024-12-26,481,5.6,Actif,Moyen,70.7,136.57
C0007,Particulier,Marseille,Email,9,748.42,2024-08-11,618,,Inactif,Moyen,47.2,243.04
C0052,Grand compte,Paris,Téléphone,6,23401.47,2025-03-29,388,9.2,Actif,Moyen,50.5,314.71
C0118,Particulier,Marseille,Partenaire,13,723.38,2024-12-30,477,7.4,Inactif,Moyen,20.2,170.35
C0073,Grand compte,Paris,Commercial,7,15197.33,2025-07-12,283,11.0,Actif,Élevé,75.0,162.61
C0086,GRAND COMPTE,Nantes,Email,10,2241.67,2025-07-10,285,9.1,À relancer,Moyen,67.7,63.99
C0163,Association,Marseille,Commercial,12,1488.1,2025-12-26,116,6.8,À relancer,Moyen,83.4,105.93
C0167,PME,Bordeaux,Partenaire,9,4822.94,2025-03-28,389,6.3,Inactif,Moyen,97.2,191.75
C0020,Particulier,Toulouse,Commercial,-1,777.27,2025-11-26,146,8.8,Actif,Faible,46.1,140.58
C0025,Particulier,Nantes,Partenaire,10,2510.4,2024-12-28,479,6.8,Inactif,Moyen,39.6,45.39
C0177,Grand compte,Lille,Partenaire,11,9069.18,2025-06-30,295,6.4,Inactif,Moyen,64.4,74.58
DUP003,Particulier,Lyon,Email,8,265.26,2025-11-07,165,7.5,À relancer,Moyen,47.6,168.85
C0130,PME,Marseille,Téléphone,9,0.0,2024-06-25,665,9.7,Actif,Moyen,70.5,183.96
C0071,PME,Toulouse,Email,7,5778.25,2025-09-25,208,4.6,Inactif,Élevé,34.5,56.12
C0043,PME,Lille,Téléphone,12,5973.28,2024-09-14,584,4.9,Inactif,Élevé,72.3,44.81
C0044,Particulier,Nantes,Commercial,7,644.99,2025-10-09,194,6.2,Actif,Moyen,37.9,37.18
C0131,Association,Paris,Web,7,1954.22,2025-08-11,253,7.6,Inactif,Moyen,24.0,223.9
C0204,Particulier,Bordeaux,Commercial,5,883.54,2026-03-08,44,8.8,Actif,Faible,30.6,141.27
C0010,Grand compte,Lille,Téléphone,10,20418.63,2024-04-30,721,2.4,Actif,Élevé,57.1,96.87
C0162,PME,Nantes,Commercial,7,5912.25,2025-01-25,451,7.7,Inactif,Moyen,78.1,335.0
C0057,PME,Bordeaux,Partenaire,7,6641.83,2025-11-11,161,8.9,Actif,Faible,92.7,200.69
C0059,PME,Lyon,Commercial,14,6907.22,2025-12-20,122,7.3,À relancer,Faible,31.2,242.36
C0017,Grand compte,Bordeaux,Web,9,12597.53,2025-08-30,234,4.7,À relancer,Élevé,82.6,100.83
C0058,PME,Bordeaux,Téléphone,9,10315.86,2026-02-10,70,7.5,Actif,Faible,60.9,123.75
C0116,Particulier,Marseille,Partenaire,10,826.1,2026-01-29,82,7.7,Actif,Faible,7.5,165.07
C0036,Association,Lyon,Email,6,3680.21,2024-10-28,540,7.3,À relancer,Moyen,49.5,124.35
C0169,PME,Lille,Web,8,4738.83,2025-09-21,212,5.1,Inactif,Moyen,64.3,103.35
C0016,Association,Toulouse,Partenaire,3,1039.77,2025-09-09,224,7.5,Inactif,faible,61.0,226.01
